Borough,City,Latitude,Longitude
Tempelhof-Schöneberg,Berlin,52.4406033,13.3737035
Wilmersdorf,Berlin,52.4871152,13.3203298
Friedrichshain-Kreuzberg,Berlin,52.5153063,13.4616117
Charlottenburg,Berlin,52.515747,13.3096834
Mitte,Berlin,52.5176896,13.4023757
Pankow,Berlin,52.597636699999995,13.436373975411648
Altona,Hamburg,53.58646755,9.777669726868917
St. Pauli,Hamburg,53.5539347,9.9594316
Altstadt,Hamburg,53.55049605,9.997775627725257
Hammerbrook,Hamburg,53.5468152,10.0265586
Neustadt,Hamburg,53.5498808,9.9790482
St. Georg,Hamburg,53.5569933,10.0141623
Hamburg-Nord,Hamburg,53.61915555,10.009739899920163
Eimsbüttel,Hamburg,53.5724835,9.9501
