Neighborhood,Address Latitude,Address Longitude,Borough,City,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.48096579999999,13.349538699999998,Tempelhof-Schöneberg,Berlin,7,Café,Vietnamese Restaurant,Pizza Place,Bakery,Bistro,Ice Cream Shop,French Restaurant,German Restaurant,Italian Restaurant,Gym / Fitness Center
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713267,Tempelhof-Schöneberg,Berlin,7,Café,Italian Restaurant,Korean Restaurant,Historic Site,Bistro,Pizza Place,Grocery Store,French Restaurant,Gym / Fitness Center,Supermarket
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48064915000001,13.388919072222226,Tempelhof-Schöneberg,Berlin,0,Italian Restaurant,Café,Bar,Coffee Shop,Cocktail Bar,Music Venue,Historic Site,Park,Austrian Restaurant,Greek Restaurant
"Hasenschänke, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.48263589999999,13.41626694861111,Tempelhof-Schöneberg,Berlin,11,Café,Bar,Pizza Place,Coffee Shop,Indie Movie Theater,Italian Restaurant,Restaurant,Vegetarian / Vegan Restaurant,Beer Garden,Turkish Restaurant
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf,Berlin,13,Bakery,Italian Restaurant,Dessert Shop,Café,German Restaurant,Japanese Restaurant,Supermarket,Asian Restaurant,Vietnamese Restaurant,Seafood Restaurant
"Landkost, 78, Yorckstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10965, Deutschland",52.492933900000004,13.3822204,Friedrichshain-Kreuzberg,Berlin,0,Italian Restaurant,Bar,Café,Park,Hotel,Coffee Shop,Cocktail Bar,Breakfast Spot,Mediterranean Restaurant,Taverna
"Günter-König-Sportplatz, Blücherstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",52.49273470000001,13.403776644744628,Friedrichshain-Kreuzberg,Berlin,0,Italian Restaurant,Coffee Shop,Turkish Restaurant,German Restaurant,Pizza Place,Café,Bar,Bakery,Austrian Restaurant,Cocktail Bar
"3, Bürknerstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 12047, Deutschland",52.49344590000001,13.426419699999999,Friedrichshain-Kreuzberg,Berlin,11,Bar,Coffee Shop,Café,Turkish Restaurant,Italian Restaurant,Bakery,Pizza Place,African Restaurant,Breakfast Spot,Ice Cream Shop
"La ManoVerde, 181-183, Uhlandstraße, Charlottenburg, Charlottenburg-Wilmersdorf, 10623, Deutschland",52.5039064,13.326405477422021,Charlottenburg,Berlin,6,Hotel,Zoo Exhibit,Café,Dessert Shop,German Restaurant,Italian Restaurant,Jazz Club,Furniture / Home Store,Clothing Store,Breakfast Spot
"Golden Tulip Berlin - Hotel Hamburg, 4, Landgrafenstraße, Botschaftsviertel, Tiergarten, Mitte, Berlin, 10787, Deutschland",52.50421305,13.348932811993759,Mitte,Berlin,6,Hotel,Zoo Exhibit,Gay Bar,Café,Coffee Shop,Cocktail Bar,Plaza,Monument / Landmark,Restaurant,Korean Restaurant
"6-7, Am Karlsbad, Botschaftsviertel, Tiergarten, Mitte, Berlin, 10785, Deutschland",52.50416395,13.370236340687404,Mitte,Berlin,4,Hotel,Art Gallery,Café,Concert Hall,Spa,Park,Plaza,Art Museum,Coffee Shop,Hotel Bar
"97, Charlottenstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland",52.5047924,13.3926464,Friedrichshain-Kreuzberg,Berlin,4,Hotel,Gym / Fitness Center,Plaza,History Museum,Science Museum,Café,Coffee Shop,Concert Hall,Theater,Modern European Restaurant
