Address,Address Latitude,Address Longitude,Neighborhood,City,Venue,Venue Latitude,Venue Longitude,Venue Category
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Café de Enrico,52.481013876466925,13.349787701000947,Café
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Osbili,52.479532,13.349973,Bistro
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Sahara Sudanesische Spezialitäten,52.479845,13.35181,African Restaurant
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Odeon,52.48208572810069,13.349482915306812,Indie Movie Theater
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Balkan Grill,52.48004217551773,13.352420220636539,Eastern European Restaurant
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Brunnen Goldener Hirsch,52.48335519794925,13.344000577926636,Fountain
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Shawarma One,52.48158001963898,13.349408682953094,Falafel Restaurant
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Bäckerei Johann Mayer,52.47856722942611,13.34568397498558,Bakery
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Dolce Pizza,52.48477884830622,13.3458334017871,Pizza Place
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg,Berlin,Willi Mangler,52.48026211435103,13.34654881160732,Pub
