Address,Latitude,Longitude,Neighborhood
"Drosselsteg, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",52.4731627,13.357282,Tempelhof-Schöneberg
"Sachsendammsteg, A 100, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",52.473754799999995,13.36373058675414,Tempelhof-Schöneberg
"105, Hoeppnerstraße, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.473390550000005,13.371994752572606,Tempelhof-Schöneberg
"Anwohnerparkplätze, Wiesenerstraße, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.473656649999995,13.379431236070381,Tempelhof-Schöneberg
"83, Tempelhofer Damm, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.4736251,13.3860448,Tempelhof-Schöneberg
"ehemalige nördliche Start- und Landebahn, Tempelhof, Tempelhof-Schöneberg, Berlin, 12049, Deutschland",52.47457975365993,13.393953901631203,Tempelhof-Schöneberg
"Airport Reference Point Tempelhof, ehemalige nördliche Start- und Landebahn, Tempelhof, Tempelhof-Schöneberg, Berlin, 12049, Deutschland",52.4736,13.4017001,Tempelhof-Schöneberg
"A 100, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.477254516309344,13.34627188947813,Tempelhof-Schöneberg
"A 103, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",52.47660763283969,13.353746402261374,Tempelhof-Schöneberg
"NC Group GmbH, 39-47, Tempelhofer Weg, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",52.4771643,13.3606568,Tempelhof-Schöneberg
"THW Ortsverband Berlin Friedrichshain-Kreuzberg, 30, General-Pape-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.477187,13.3681133,Tempelhof-Schöneberg
"17, Bäumerplan, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.47723715,13.375530247237768,Tempelhof-Schöneberg
"55, Leonhardyweg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.4773582,13.38295559916335,Tempelhof-Schöneberg
"TWY WEST, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.476847855632165,13.391087086417219,Tempelhof-Schöneberg
"TWY NORTH-EAST, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.48020449425936,13.397681445831564,Tempelhof-Schöneberg
"Historischer Diensthundezwinger, TWY NORTH-EAST, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.47783545,13.404282238988763,Tempelhof-Schöneberg
"Betriebsgebäude Grün Berlin GmbH, TWY NORTH-EAST, Tempelhof, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.477842800000005,13.412935581103236,Tempelhof-Schöneberg
"15, Am Volkspark, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland",52.480217,13.3339453,Wilmersdorf
"9, Heylstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland",52.4806441,13.3420778,Tempelhof-Schöneberg
"Pasta Bar, 1, Fritz-Reuter-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4809658,13.3495387,Tempelhof-Schöneberg
"1-2, 21, Torgauer Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",52.4809246,13.3569422,Tempelhof-Schöneberg
"Haus 27, 53, Naumannstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",52.480781699999994,13.364448599369396,Tempelhof-Schöneberg
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg
"66, Wolffring, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.4813978,13.3788241,Tempelhof-Schöneberg
"11, Tempelhofer Damm, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.4813926,13.3862959,Tempelhof-Schöneberg
